model_id_x,ROC_rank_x,avg_auc_x,model_id_y,ROC_rank_y,avg_auc_y,rank_x-rank_y,avg_auc_x=avg_auc_y,rank_x-rank_y_greater_cd_18.082
rpart_0.001_all,2.694,0.901,adaboost_100_Adaboost.M1_all,3.508,0.898,-0.814,0.003,False
rpart_0.001_all,2.694,0.901,adaboost_50_Adaboost.M1_all,3.548,0.898,-0.855,0.003,False
rpart_0.001_all,2.694,0.901,adaboost_500_Adaboost.M1_all,4.131,0.897,-1.437,0.004,False
rpart_0.001_all,2.694,0.901,adaboost_50_Adaboost.M1_clickstream,4.537,0.893,-1.843,0.008,False
rpart_0.001_all,2.694,0.901,adaboost_100_Adaboost.M1_clickstream,4.829,0.892,-2.135,0.009,False
rpart_0.001_all,2.694,0.901,adaboost_500_Adaboost.M1_clickstream,5.764,0.891,-3.07,0.01,False
rpart_0.001_all,2.694,0.901,nb_1_TRUE_1_clickstream,7.771,0.873,-5.077,0.028,False
rpart_0.001_all,2.694,0.901,nb_0_TRUE_1_clickstream,7.771,0.873,-5.077,0.028,False
rpart_0.001_all,2.694,0.901,nb_1_FALSE_1_clickstream,13.538,0.791,-10.844,0.11,False
rpart_0.001_all,2.694,0.901,nb_0_FALSE_1_clickstream,13.538,0.791,-10.844,0.11,False
rpart_0.001_all,2.694,0.901,glmnet_0_0_clickstream,17.375,0.752,-14.681,0.149,False
rpart_0.001_all,2.694,0.901,glmnet_0_0.001_clickstream,17.375,0.752,-14.681,0.149,False
rpart_0.001_all,2.694,0.901,glmnet_0_0.01_clickstream,17.58,0.751,-14.886,0.15,False
rpart_0.001_all,2.694,0.901,glmnet_0_0.01_all,17.991,0.78,-15.297,0.121,False
rpart_0.001_all,2.694,0.901,glmnet_0_0.1_all,18.306,0.779,-15.612,0.122,False
rpart_0.001_all,2.694,0.901,glmnet_0_0.001_all,18.688,0.779,-15.994,0.122,False
rpart_0.001_all,2.694,0.901,glmnet_0_0_all,18.688,0.779,-15.994,0.122,False
rpart_0.001_all,2.694,0.901,glmnet_0_0.1_clickstream,18.915,0.739,-16.221,0.162,False
rpart_0.001_all,2.694,0.901,glmnet_0_1_clickstream,22.994,0.7,-20.3,0.201,True
rpart_0.001_all,2.694,0.901,glmnet_0_1_all,23.012,0.752,-20.319,0.149,True
rpart_0.001_all,2.694,0.901,nb_0_TRUE_1_all,31.023,0.725,-28.33,0.176,True
rpart_0.001_all,2.694,0.901,nb_1_TRUE_1_all,31.023,0.725,-28.33,0.176,True
rpart_0.001_all,2.694,0.901,adaboost_50_Real adaboost_clickstream,33.74,0.609,-31.046,0.292,True
rpart_0.001_all,2.694,0.901,adaboost_100_Real adaboost_clickstream,34.755,0.596,-32.062,0.305,True
rpart_0.001_all,2.694,0.901,adaboost_500_Real adaboost_clickstream,39.315,0.551,-36.622,0.35,True
rpart_0.001_all,2.694,0.901,glmnet_0_0.01_quiz,39.416,0.605,-36.722,0.296,True
rpart_0.001_all,2.694,0.901,glmnet_0_1_forum,39.455,0.514,-36.762,0.387,True
rpart_0.001_all,2.694,0.901,glmnet_0_0_quiz,39.477,0.605,-36.783,0.296,True
rpart_0.001_all,2.694,0.901,glmnet_0_0.001_quiz,39.477,0.605,-36.783,0.296,True
rpart_0.001_all,2.694,0.901,glmnet_0_0.1_quiz,39.742,0.604,-37.048,0.297,True
rpart_0.001_all,2.694,0.901,adaboost_500_Adaboost.M1_forum,41.024,0.514,-38.331,0.387,True
rpart_0.001_all,2.694,0.901,glmnet_0_0.1_forum,41.717,0.512,-39.023,0.389,True
rpart_0.001_all,2.694,0.901,glmnet_0_1_quiz,42.514,0.596,-39.82,0.305,True
rpart_0.001_all,2.694,0.901,adaboost_100_Adaboost.M1_forum,42.573,0.513,-39.879,0.388,True
rpart_0.001_all,2.694,0.901,glmnet_0_0.01_forum,43.12,0.511,-40.426,0.39,True
rpart_0.001_all,2.694,0.901,glmnet_0_0.001_forum,43.421,0.511,-40.727,0.39,True
rpart_0.001_all,2.694,0.901,glmnet_0_0_forum,43.499,0.511,-40.806,0.39,True
rpart_0.001_all,2.694,0.901,adaboost_50_Adaboost.M1_forum,43.774,0.512,-41.08,0.389,True
rpart_0.001_all,2.694,0.901,nb_1_TRUE_1_forum,44.41,0.511,-41.717,0.39,True
rpart_0.001_all,2.694,0.901,nb_0_TRUE_1_forum,44.41,0.511,-41.717,0.39,True
rpart_0.001_all,2.694,0.901,nb_0_FALSE_1_quiz,45.172,0.587,-42.478,0.314,True
rpart_0.001_all,2.694,0.901,nb_1_FALSE_1_quiz,45.172,0.587,-42.478,0.314,True
rpart_0.001_all,2.694,0.901,adaboost_100_Adaboost.M1_quiz,45.78,0.585,-43.086,0.316,True
rpart_0.001_all,2.694,0.901,adaboost_50_Adaboost.M1_quiz,45.93,0.585,-43.236,0.316,True
rpart_0.001_all,2.694,0.901,adaboost_500_Adaboost.M1_quiz,45.948,0.585,-43.255,0.316,True
rpart_0.001_all,2.694,0.901,nb_0_TRUE_1_quiz,46.05,0.585,-43.356,0.316,True
rpart_0.001_all,2.694,0.901,nb_1_TRUE_1_quiz,46.05,0.585,-43.356,0.316,True
rpart_0.001_all,2.694,0.901,adaboost_50_Real adaboost_forum,48.206,0.506,-45.512,0.395,True
rpart_0.001_all,2.694,0.901,adaboost_50_Real adaboost_all,48.862,0.6,-46.169,0.301,True
rpart_0.001_all,2.694,0.901,adaboost_100_Real adaboost_forum,49.417,0.505,-46.723,0.396,True
rpart_0.001_all,2.694,0.901,adaboost_500_Real adaboost_forum,50.085,0.504,-47.392,0.397,True
rpart_0.001_all,2.694,0.901,adaboost_100_Real adaboost_all,51.156,0.589,-48.462,0.312,True
rpart_0.001_all,2.694,0.901,nb_1_FALSE_1_forum,52.824,0.499,-50.13,0.402,True
rpart_0.001_all,2.694,0.901,nb_0_FALSE_1_forum,52.824,0.499,-50.13,0.402,True
rpart_0.001_all,2.694,0.901,adaboost_500_Real adaboost_all,54.928,0.562,-52.234,0.339,True
rpart_0.001_all,2.694,0.901,adaboost_50_Real adaboost_quiz,67.512,0.519,-64.819,0.382,True
rpart_0.001_all,2.694,0.901,adaboost_100_Real adaboost_quiz,67.966,0.516,-65.272,0.385,True
rpart_0.001_all,2.694,0.901,adaboost_500_Real adaboost_quiz,70.83,0.51,-68.136,0.391,True
rpart_0.001_all,2.694,0.901,nb_0_FALSE_1_all,75.116,0.501,-72.422,0.4,True
rpart_0.001_all,2.694,0.901,nb_1_FALSE_1_all,75.116,0.501,-72.422,0.4,True
adaboost_50_Adaboost.M1_all,3.548,0.898,adaboost_100_Adaboost.M1_all,3.508,0.898,0.041,0.0,False
adaboost_50_Adaboost.M1_all,3.548,0.898,adaboost_500_Adaboost.M1_all,4.131,0.897,-0.583,0.001,False
adaboost_50_Adaboost.M1_all,3.548,0.898,adaboost_100_Adaboost.M1_clickstream,4.829,0.892,-1.28,0.006,False
adaboost_50_Adaboost.M1_all,3.548,0.898,adaboost_500_Adaboost.M1_clickstream,5.764,0.891,-2.215,0.007,False
adaboost_50_Adaboost.M1_all,3.548,0.898,adaboost_100_Real adaboost_clickstream,34.755,0.596,-31.207,0.302,True
adaboost_50_Adaboost.M1_all,3.548,0.898,adaboost_500_Real adaboost_clickstream,39.315,0.551,-35.767,0.347,True
adaboost_50_Adaboost.M1_all,3.548,0.898,adaboost_500_Adaboost.M1_forum,41.024,0.514,-37.476,0.384,True
adaboost_50_Adaboost.M1_all,3.548,0.898,adaboost_100_Adaboost.M1_forum,42.573,0.513,-39.025,0.385,True
adaboost_50_Adaboost.M1_all,3.548,0.898,adaboost_100_Adaboost.M1_quiz,45.78,0.585,-42.231,0.313,True
adaboost_50_Adaboost.M1_all,3.548,0.898,adaboost_500_Adaboost.M1_quiz,45.948,0.585,-42.4,0.313,True
adaboost_50_Adaboost.M1_all,3.548,0.898,adaboost_100_Real adaboost_forum,49.417,0.505,-45.869,0.393,True
adaboost_50_Adaboost.M1_all,3.548,0.898,adaboost_500_Real adaboost_forum,50.085,0.504,-46.537,0.394,True
adaboost_50_Adaboost.M1_all,3.548,0.898,adaboost_100_Real adaboost_all,51.156,0.589,-47.608,0.309,True
adaboost_50_Adaboost.M1_all,3.548,0.898,adaboost_500_Real adaboost_all,54.928,0.562,-51.38,0.336,True
adaboost_50_Adaboost.M1_all,3.548,0.898,adaboost_100_Real adaboost_quiz,67.966,0.516,-64.417,0.382,True
adaboost_50_Adaboost.M1_all,3.548,0.898,adaboost_500_Real adaboost_quiz,70.83,0.51,-67.281,0.388,True
adaboost_500_Adaboost.M1_all,4.131,0.897,adaboost_100_Adaboost.M1_all,3.508,0.898,0.623,-0.001,False
adaboost_500_Adaboost.M1_all,4.131,0.897,adaboost_100_Adaboost.M1_clickstream,4.829,0.892,-0.698,0.005,False
adaboost_500_Adaboost.M1_all,4.131,0.897,adaboost_100_Real adaboost_clickstream,34.755,0.596,-30.624,0.301,True
adaboost_500_Adaboost.M1_all,4.131,0.897,adaboost_100_Adaboost.M1_forum,42.573,0.513,-38.442,0.384,True
adaboost_500_Adaboost.M1_all,4.131,0.897,adaboost_100_Adaboost.M1_quiz,45.78,0.585,-41.648,0.312,True
adaboost_500_Adaboost.M1_all,4.131,0.897,adaboost_100_Real adaboost_forum,49.417,0.505,-45.286,0.392,True
adaboost_500_Adaboost.M1_all,4.131,0.897,adaboost_100_Real adaboost_all,51.156,0.589,-47.025,0.308,True
adaboost_500_Adaboost.M1_all,4.131,0.897,adaboost_100_Real adaboost_quiz,67.966,0.516,-63.834,0.381,True
adaboost_50_Adaboost.M1_clickstream,4.537,0.893,adaboost_100_Adaboost.M1_all,3.508,0.898,1.029,-0.005,False
adaboost_50_Adaboost.M1_clickstream,4.537,0.893,adaboost_50_Adaboost.M1_all,3.548,0.898,0.989,-0.005,False
adaboost_50_Adaboost.M1_clickstream,4.537,0.893,adaboost_500_Adaboost.M1_all,4.131,0.897,0.406,-0.004,False
adaboost_50_Adaboost.M1_clickstream,4.537,0.893,adaboost_100_Adaboost.M1_clickstream,4.829,0.892,-0.292,0.001,False
adaboost_50_Adaboost.M1_clickstream,4.537,0.893,adaboost_500_Adaboost.M1_clickstream,5.764,0.891,-1.226,0.002,False
adaboost_50_Adaboost.M1_clickstream,4.537,0.893,adaboost_100_Real adaboost_clickstream,34.755,0.596,-30.218,0.296,True
adaboost_50_Adaboost.M1_clickstream,4.537,0.893,adaboost_500_Real adaboost_clickstream,39.315,0.551,-34.778,0.342,True
adaboost_50_Adaboost.M1_clickstream,4.537,0.893,adaboost_500_Adaboost.M1_forum,41.024,0.514,-36.487,0.379,True
adaboost_50_Adaboost.M1_clickstream,4.537,0.893,adaboost_100_Adaboost.M1_forum,42.573,0.513,-38.036,0.38,True
adaboost_50_Adaboost.M1_clickstream,4.537,0.893,adaboost_100_Adaboost.M1_quiz,45.78,0.585,-41.243,0.308,True
adaboost_50_Adaboost.M1_clickstream,4.537,0.893,adaboost_500_Adaboost.M1_quiz,45.948,0.585,-41.411,0.308,True
adaboost_50_Adaboost.M1_clickstream,4.537,0.893,adaboost_100_Real adaboost_forum,49.417,0.505,-44.88,0.388,True
adaboost_50_Adaboost.M1_clickstream,4.537,0.893,adaboost_500_Real adaboost_forum,50.085,0.504,-45.548,0.389,True
adaboost_50_Adaboost.M1_clickstream,4.537,0.893,adaboost_100_Real adaboost_all,51.156,0.589,-46.619,0.304,True
adaboost_50_Adaboost.M1_clickstream,4.537,0.893,adaboost_500_Real adaboost_all,54.928,0.562,-50.391,0.331,True
adaboost_50_Adaboost.M1_clickstream,4.537,0.893,adaboost_100_Real adaboost_quiz,67.966,0.516,-63.429,0.377,True
adaboost_50_Adaboost.M1_clickstream,4.537,0.893,adaboost_500_Real adaboost_quiz,70.83,0.51,-66.293,0.383,True
rpart_0.01_all,4.65,0.894,rpart_0.001_all,2.694,0.901,1.956,-0.007,False
rpart_0.01_all,4.65,0.894,adaboost_100_Adaboost.M1_all,3.508,0.898,1.142,-0.004,False
rpart_0.01_all,4.65,0.894,adaboost_50_Adaboost.M1_all,3.548,0.898,1.102,-0.004,False
rpart_0.01_all,4.65,0.894,adaboost_500_Adaboost.M1_all,4.131,0.897,0.519,-0.003,False
rpart_0.01_all,4.65,0.894,adaboost_50_Adaboost.M1_clickstream,4.537,0.893,0.113,0.001,False
rpart_0.01_all,4.65,0.894,rpart_0.001_clickstream,4.659,0.892,-0.009,0.001,False
rpart_0.01_all,4.65,0.894,adaboost_100_Adaboost.M1_clickstream,4.829,0.892,-0.179,0.001,False
rpart_0.01_all,4.65,0.894,adaboost_500_Adaboost.M1_clickstream,5.764,0.891,-1.114,0.003,False
rpart_0.01_all,4.65,0.894,nb_1_TRUE_1_clickstream,7.771,0.873,-3.121,0.021,False
rpart_0.01_all,4.65,0.894,nb_0_TRUE_1_clickstream,7.771,0.873,-3.121,0.021,False
rpart_0.01_all,4.65,0.894,nb_1_FALSE_1_clickstream,13.538,0.791,-8.888,0.102,False
rpart_0.01_all,4.65,0.894,nb_0_FALSE_1_clickstream,13.538,0.791,-8.888,0.102,False
rpart_0.01_all,4.65,0.894,glmnet_0_0_clickstream,17.375,0.752,-12.725,0.142,False
rpart_0.01_all,4.65,0.894,glmnet_0_0.001_clickstream,17.375,0.752,-12.725,0.142,False
rpart_0.01_all,4.65,0.894,glmnet_0_0.01_clickstream,17.58,0.751,-12.93,0.142,False
rpart_0.01_all,4.65,0.894,glmnet_0_0.01_all,17.991,0.78,-13.341,0.114,False
rpart_0.01_all,4.65,0.894,glmnet_0_0.1_all,18.306,0.779,-13.656,0.114,False
rpart_0.01_all,4.65,0.894,glmnet_0_0.001_all,18.688,0.779,-14.038,0.114,False
rpart_0.01_all,4.65,0.894,glmnet_0_0_all,18.688,0.779,-14.038,0.114,False
rpart_0.01_all,4.65,0.894,glmnet_0_0.1_clickstream,18.915,0.739,-14.265,0.155,False
rpart_0.01_all,4.65,0.894,glmnet_0_1_clickstream,22.994,0.7,-18.344,0.194,True
rpart_0.01_all,4.65,0.894,glmnet_0_1_all,23.012,0.752,-18.362,0.142,True
rpart_0.01_all,4.65,0.894,nb_0_TRUE_1_all,31.023,0.725,-26.373,0.169,True
rpart_0.01_all,4.65,0.894,nb_1_TRUE_1_all,31.023,0.725,-26.373,0.169,True
rpart_0.01_all,4.65,0.894,adaboost_50_Real adaboost_clickstream,33.74,0.609,-29.09,0.284,True
rpart_0.01_all,4.65,0.894,adaboost_100_Real adaboost_clickstream,34.755,0.596,-30.105,0.297,True
rpart_0.01_all,4.65,0.894,adaboost_500_Real adaboost_clickstream,39.315,0.551,-34.665,0.343,True
rpart_0.01_all,4.65,0.894,glmnet_0_0.01_quiz,39.416,0.605,-34.766,0.289,True
rpart_0.01_all,4.65,0.894,glmnet_0_1_forum,39.455,0.514,-34.805,0.379,True
rpart_0.01_all,4.65,0.894,glmnet_0_0_quiz,39.477,0.605,-34.827,0.289,True
rpart_0.01_all,4.65,0.894,glmnet_0_0.001_quiz,39.477,0.605,-34.827,0.289,True
rpart_0.01_all,4.65,0.894,glmnet_0_0.1_quiz,39.742,0.604,-35.092,0.289,True
rpart_0.01_all,4.65,0.894,adaboost_500_Adaboost.M1_forum,41.024,0.514,-36.374,0.38,True
rpart_0.01_all,4.65,0.894,glmnet_0_0.1_forum,41.717,0.512,-37.067,0.381,True
rpart_0.01_all,4.65,0.894,glmnet_0_1_quiz,42.514,0.596,-37.864,0.297,True
rpart_0.01_all,4.65,0.894,adaboost_100_Adaboost.M1_forum,42.573,0.513,-37.923,0.381,True
rpart_0.01_all,4.65,0.894,glmnet_0_0.01_forum,43.12,0.511,-38.47,0.383,True
rpart_0.01_all,4.65,0.894,glmnet_0_0.001_forum,43.421,0.511,-38.771,0.383,True
rpart_0.01_all,4.65,0.894,glmnet_0_0_forum,43.499,0.511,-38.849,0.383,True
rpart_0.01_all,4.65,0.894,adaboost_50_Adaboost.M1_forum,43.774,0.512,-39.124,0.382,True
rpart_0.01_all,4.65,0.894,nb_1_TRUE_1_forum,44.41,0.511,-39.76,0.382,True
rpart_0.01_all,4.65,0.894,nb_0_TRUE_1_forum,44.41,0.511,-39.76,0.382,True
rpart_0.01_all,4.65,0.894,nb_0_FALSE_1_quiz,45.172,0.587,-40.522,0.306,True
rpart_0.01_all,4.65,0.894,nb_1_FALSE_1_quiz,45.172,0.587,-40.522,0.306,True
rpart_0.01_all,4.65,0.894,adaboost_100_Adaboost.M1_quiz,45.78,0.585,-41.13,0.308,True
rpart_0.01_all,4.65,0.894,adaboost_50_Adaboost.M1_quiz,45.93,0.585,-41.28,0.308,True
rpart_0.01_all,4.65,0.894,adaboost_500_Adaboost.M1_quiz,45.948,0.585,-41.298,0.309,True
rpart_0.01_all,4.65,0.894,nb_0_TRUE_1_quiz,46.05,0.585,-41.4,0.308,True
rpart_0.01_all,4.65,0.894,nb_1_TRUE_1_quiz,46.05,0.585,-41.4,0.308,True
rpart_0.01_all,4.65,0.894,adaboost_50_Real adaboost_forum,48.206,0.506,-43.556,0.388,True
rpart_0.01_all,4.65,0.894,adaboost_50_Real adaboost_all,48.862,0.6,-44.212,0.293,True
